name,code,yr2015,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yrchange
Sudan,SDN,55920,2201,2871,3737,4816,5836,6964,8219,9704,11263,13116,15051,17330,19964,22734,25867,28874,31908,34730,37658,40684,43814,46656,49190,51524,53739,53719
Suriname,SUR,3809,323,441,588,774,1014,1287,1581,1936,2322,2711,3055,3331,3529,3658,3723,3752,3759,3755,3762,3776,3792,3802,3810,3805,3793,3486
Swaziland,SWZ,218550,8224,15373,25616,38523,53185,68506,83414,97309,109527,119601,127518,133569,138150,141890,145399,149185,153896,160185,167229,174476,182300,189829,197623,205260,212504,210326
Tajikistan,TJK,16185,209,323,490,729,1063,1508,2086,2756,3502,4291,5078,5909,6621,7289,7971,8632,9327,10078,10863,11654,12494,13329,14185,14948,15582,15976
Thailand,THA,438101,143363,285225,427979,529923,600393,642361,662596,666557,660163,647099,628474,606088,581086,556446,534085,518599,510517,503837,496800,489158,481043,472765,464404,455447,446696,294738
Togo,TGO,106260,23039,30214,38666,48382,59195,71065,83288,95523,107080,117585,126521,133418,137959,140069,140202,138651,135724,131553,126255,121162,116933,113550,111086,109436,108061,83221
Trinidad and Tobago,TTO,10812,2669,3144,3661,4209,4764,5322,5863,6372,6854,7288,7680,8016,8323,8632,8959,9277,9574,9839,10069,10276,10420,10510,10563,10624,10720,8143
Uganda,UGA,1461740,1071590,1134180,1169150,1179970,1170660,1146740,1111600,1071810,1031800,996054,965361,942185,928907,924498,931588,956480,995902,1036590,1086020,1147500,1210200,1271550,1319140,1370340,1415910,390150
Ukraine,UKR,218972,14984,17536,21178,26702,35397,48309,66290,89537,116895,146366,175298,201167,222852,239031,249407,254398,252553,247503,240342,232454,225032,218319,213006,211442,213810,203988
United Republic of Tanzania,TZA,1385780,621206,738459,854407,967875,1065750,1146930,1216080,1267160,1305460,1331400,1349740,1362390,1364270,1361440,1352510,1340900,1336600,1343280,1360740,1368850,1369930,1374590,1371780,1373700,1378510,764574
Uruguay,URY,10137,1722,2146,2604,2944,3334,3831,4346,4900,5503,6120,6723,7335,7912,8441,8935,9357,9656,9839,9903,9884,9816,9749,9769,9898,10011,8415
Uzbekistan,UZB,32704,75,200,542,976,1583,2299,3409,5302,8448,13423,20509,29043,38418,46932,53495,57363,58565,57913,55681,52611,49043,45237,41580,38247,35270,32629
Venezuela,VEN,107329,255,789,2270,5576,10898,17368,24135,30768,37077,42957,48374,53572,58831,63953,68818,73422,77757,81825,85795,89915,93817,97372,100571,103354,105528,107074
Viet Nam,VNM,255113,312,684,1471,3095,6364,12620,23492,39356,58950,80332,101811,123023,143474,161996,176913,189291,199667,208620,217273,226119,234225,240619,245703,249413,252365,254801
Yemen,YEM,9194,926,1124,1342,1573,1813,2045,2205,2375,2559,2758,2974,3209,3464,3733,4019,4339,4681,5057,5486,5940,6404,6910,7434,7985,8571,8268
Zambia,ZMB,1211880,521629,584222,641286,691654,736266,776635,812703,843585,869166,888762,901894,914215,921774,926458,932801,939596,948923,962876,989365,1018370,1050550,1081340,1114070,1147390,1181950,690251
Zimbabwe,ZWE,1425760,788461,959051,1128390,1287430,1426070,1540390,1625780,1679710,1702570,1696490,1660940,1605840,1538760,1466420,1394050,1326180,1268570,1225650,1201030,1200940,1220060,1255410,1297890,1341590,1385650,637299
